anomaly,attempt_number,away_score_before,back_to_back,clock,clutch,confidence,continuous_stint_seconds,cumulative_seconds_played,date,days_rest,description,event_id,event_index,game_id,home_score_before,interrupted,interruptions,made,opponent,period,period_label,player_attempt_number_game,player_id,player_name,position,previous_bench_rest_seconds,previous_result,review_before,score_margin_before,score_state,seconds_since_previous_ft,segment,sequence,stint_number,substitution_before,team_attempt_number_game,team_game_number,team_id,timeout_before,trip_id,trip_length,trip_type,venue,wallclock,workload_confidence
,1,5,False,9:24,False,high,156.0,156.0,2025-10-22,,Jimmy Butler III makes free throw 1 of 2,40180924431,18,401809244,4,False,,True,LAL,1,Q1,1,6430,Jimmy Butler III,1 of 2,,,False,1,leading,,Regular Season,31,1,False,1,1,9,False,401809244-40180924431,2,shooting,away,2025-10-22T02:21:12Z,high
,2,6,False,9:24,False,high,156.0,156.0,2025-10-22,,Jimmy Butler III makes free throw 2 of 2,40180924432,19,401809244,4,False,,True,LAL,1,Q1,2,6430,Jimmy Butler III,2 of 2,,made,False,2,leading,0,Regular Season,32,1,False,2,1,9,False,401809244-40180924431,2,shooting,away,2025-10-22T02:21:12Z,high
,1,17,False,3:26,False,high,28.0,325.0,2025-10-22,,Jimmy Butler III makes free throw 1 of 2,401809244128,87,401809244,14,False,,True,LAL,1,Q1,3,6430,Jimmy Butler III,1 of 2,189.0,,False,3,leading,,Regular Season,128,2,False,3,1,9,False,401809244-401809244128,2,shooting,away,2025-10-22T02:35:28Z,high
,2,18,False,3:26,False,high,28.0,325.0,2025-10-22,,Jimmy Butler III makes free throw 2 of 2,401809244129,88,401809244,14,False,,True,LAL,1,Q1,4,6430,Jimmy Butler III,2 of 2,189.0,made,False,4,leading,22,Regular Season,129,2,False,4,1,9,False,401809244-401809244128,2,shooting,away,2025-10-22T02:35:50Z,high
,1,25,False,3.2,False,high,230.8,527.8,2025-10-22,,Jimmy Butler III makes free throw 1 of 3,401809244179,121,401809244,22,True,timeout;review/challenge;substitution,True,LAL,1,Q1,5,6430,Jimmy Butler III,1 of 3,189.0,,True,3,leading,,Regular Season,179,2,True,5,1,9,True,401809244-401809244179,3,shooting,away,2025-10-22T02:47:56Z,high
,2,26,False,3.2,False,high,230.8,527.8,2025-10-22,,Jimmy Butler III makes free throw 2 of 3,401809244180,122,401809244,22,True,timeout;review/challenge;substitution,True,LAL,1,Q1,6,6430,Jimmy Butler III,2 of 3,189.0,made,True,4,leading,0,Regular Season,180,2,True,6,1,9,True,401809244-401809244179,3,shooting,away,2025-10-22T02:47:56Z,high
,3,27,False,3.2,False,high,230.8,527.8,2025-10-22,,Jimmy Butler III makes free throw 3 of 3,401809244181,123,401809244,22,True,timeout;review/challenge;substitution,True,LAL,1,Q1,7,6430,Jimmy Butler III,3 of 3,189.0,made,True,5,leading,0,Regular Season,181,2,True,7,1,9,True,401809244-401809244179,3,shooting,away,2025-10-22T02:47:56Z,high
,1,30,False,10:04,False,high,350.0,647.0,2025-10-22,,Jimmy Butler III makes technical free throw,401809244217,151,401809244,25,False,,True,LAL,2,Q2,8,6430,Jimmy Butler III,1 of 1,189.0,,False,5,leading,,Regular Season,217,2,False,8,1,9,False,401809244-401809244217,1,technical,away,2025-10-22T02:55:35Z,high
,1,35,False,7:36,False,high,31.0,517.0,2025-10-22,,Stephen Curry makes free throw 1 of 2,401809244248,170,401809244,31,False,,True,LAL,2,Q2,1,3975,Stephen Curry,1 of 2,467.0,,False,4,leading,,Regular Season,248,2,False,9,1,9,False,401809244-401809244248,2,shooting,away,2025-10-22T03:00:51Z,high
,2,36,False,7:36,False,high,31.0,517.0,2025-10-22,,Stephen Curry makes free throw 2 of 2,401809244255,174,401809244,31,False,,True,LAL,2,Q2,2,3975,Stephen Curry,2 of 2,467.0,made,False,5,leading,22,Regular Season,255,2,False,10,1,9,False,401809244-401809244248,2,shooting,away,2025-10-22T03:01:13Z,high
