attempts,clock,date,game_id,interruptions,makes,opponent,period,player_id,player_name,result_sequence,segment,trip_id,trip_length,trip_type,venue
2,9:24,2025-10-22,401809244,,2,LAL,1,6430,Jimmy Butler III,M-M,Regular Season,401809244-40180924431,2,shooting,away
2,3:26,2025-10-22,401809244,,2,LAL,1,6430,Jimmy Butler III,M-M,Regular Season,401809244-401809244128,2,shooting,away
3,3.2,2025-10-22,401809244,timeout;review/challenge;substitution,3,LAL,1,6430,Jimmy Butler III,M-M-M,Regular Season,401809244-401809244179,3,shooting,away
1,10:04,2025-10-22,401809244,,1,LAL,2,6430,Jimmy Butler III,M,Regular Season,401809244-401809244217,1,technical,away
2,7:36,2025-10-22,401809244,,2,LAL,2,3975,Stephen Curry,M-M,Regular Season,401809244-401809244248,2,shooting,away
2,5:33,2025-10-22,401809244,review/challenge,2,LAL,2,3975,Stephen Curry,M-M,Regular Season,401809244-401809244292,2,flagrant,away
2,5:23,2025-10-22,401809244,,1,LAL,2,4433247,Jonathan Kuminga,M-X,Regular Season,401809244-401809244296,2,flagrant,away
2,1:08,2025-10-22,401809244,,1,LAL,2,6589,Draymond Green,M-X,Regular Season,401809244-401809244360,2,shooting,away
2,1.0,2025-10-22,401809244,,2,LAL,2,6430,Jimmy Butler III,M-M,Regular Season,401809244-401809244378,2,shooting,away
2,9:25,2025-10-22,401809244,,2,LAL,3,6430,Jimmy Butler III,M-M,Regular Season,401809244-401809244417,2,shooting,away
2,8:50,2025-10-22,401809244,,2,LAL,3,3975,Stephen Curry,M-M,Regular Season,401809244-401809244423,2,shooting,away
2,2:23,2025-10-22,401809244,,2,LAL,3,6430,Jimmy Butler III,M-M,Regular Season,401809244-401809244505,2,shooting,away
1,9:48,2025-10-22,401809244,substitution,0,LAL,4,6589,Draymond Green,X,Regular Season,401809244-401809244564,1,and-one,away
2,2:03,2025-10-22,401809244,,2,LAL,4,6430,Jimmy Butler III,M-M,Regular Season,401809244-401809244662,2,shooting,away
2,39.1,2025-10-22,401809244,,2,LAL,4,3975,Stephen Curry,M-M,Regular Season,401809244-401809244680,2,transition-take,away
2,30.4,2025-10-24,401809237,,2,DEN,1,6430,Jimmy Butler III,M-M,Regular Season,401809237-401809237159,2,shooting,home
2,9:50,2025-10-24,401809237,,1,DEN,2,4709138,Brandin Podziemski,M-X,Regular Season,401809237-401809237186,2,shooting,home
2,1:22,2025-10-24,401809237,,1,DEN,2,6589,Draymond Green,M-X,Regular Season,401809237-401809237304,2,shooting,home
2,11:28,2025-10-24,401809237,,1,DEN,3,4433247,Jonathan Kuminga,M-X,Regular Season,401809237-401809237346,2,shooting,home
1,5:09,2025-10-24,401809237,,1,DEN,3,3975,Stephen Curry,M,Regular Season,401809237-401809237412,1,and-one,home
2,2:35,2025-10-24,401809237,,2,DEN,3,6430,Jimmy Butler III,M-M,Regular Season,401809237-401809237461,2,shooting,home
2,59.5,2025-10-24,401809237,,1,DEN,3,6430,Jimmy Butler III,X-M,Regular Season,401809237-401809237483,2,shooting,home
2,11:47,2025-10-24,401809237,,2,DEN,4,6430,Jimmy Butler III,M-M,Regular Season,401809237-401809237505,2,shooting,home
2,10:26,2025-10-24,401809237,,1,DEN,4,4897262,Will Richard,M-X,Regular Season,401809237-401809237514,2,shooting,home
