confidence,duration_seconds,end_elapsed,end_event_index,end_sequence,game_id,player_id,player_name,start_elapsed,start_event_index,start_sequence,stint_number
high,297.0,297.0,37,56,401809244,6430,Jimmy Butler III,0.0,0,0,1
high,297.0,297.0,38,57,401809244,4709138,Brandin Podziemski,0.0,0,0,1
high,380.0,380.0,52,78,401809244,6589,Draymond Green,0.0,0,0,1
high,486.0,486.0,82,118,401809244,4433247,Jonathan Kuminga,0.0,0,0,1
high,486.0,486.0,83,119,401809244,3975,Stephen Curry,0.0,0,0,1
high,261.0,558.0,94,136,401809244,3134903,Gary Payton II,297.0,38,57,1
high,290.0,587.0,100,144,401809244,2990984,Buddy Hield,297.0,37,56,1
high,230.79999999999995,716.8,118,173,401809244,4709138,Brandin Podziemski,486.0,82,118,2
high,158.79999999999995,716.8,119,174,401809244,4997536,Gui Santos,558.0,94,136,1
high,336.79999999999995,716.8,120,175,401809244,3213,Al Horford,380.0,52,78,1
high,133.0,720.0,128,186,401809244,4897262,Will Richard,587.0,100,144,1
high,3.2000000000000455,720.0,129,187,401809244,4433247,Jonathan Kuminga,716.8,118,173,2
high,3.2000000000000455,720.0,130,188,401809244,3134903,Gary Payton II,716.8,120,175,2
high,233.0,953.0,167,243,401809244,4709138,Brandin Podziemski,720.0,129,187,3
high,264.0,984.0,171,249,401809244,2990984,Buddy Hield,720.0,130,188,2
high,498.0,984.0,172,250,401809244,6430,Jimmy Butler III,486.0,83,119,2
high,264.0,984.0,173,251,401809244,4593016,Quinten Post,720.0,128,186,1
high,306.20000000000005,1023.0,179,260,401809244,6589,Draymond Green,716.8,119,174,2
high,159.0,1182.0,212,312,401809244,3134903,Gary Payton II,1023.0,179,260,3
high,290.0,1274.0,221,326,401809244,4897262,Will Richard,984.0,172,250,2
high,290.0,1274.0,222,327,401809244,3213,Al Horford,984.0,171,249,2
high,165.0,1439.0,260,379,401809244,6589,Draymond Green,1274.0,221,326,3
high,1.0,1440.0,264,384,401809244,3213,Al Horford,1439.0,260,379,3
high,469.0,1743.0,309,446,401809244,4709138,Brandin Podziemski,1274.0,222,327,4
high,561.0,1743.0,310,447,401809244,6430,Jimmy Butler III,1182.0,212,312,3
high,364.0,1804.0,318,460,401809244,6589,Draymond Green,1440.0,264,384,4
high,178.0,1921.0,338,486,401809244,3134903,Gary Payton II,1743.0,309,446,4
high,968.0,1921.0,339,487,401809244,3975,Stephen Curry,953.0,167,243,2
high,1015.0,1999.0,348,499,401809244,4433247,Jonathan Kuminga,984.0,173,251,3
high,161.0,2160.0,370,531,401809244,4897262,Will Richard,1999.0,348,499,3
high,356.0,2160.0,371,532,401809244,3213,Al Horford,1804.0,318,460,4
high,489.0,2410.0,412,589,401809244,4709138,Brandin Podziemski,1921.0,338,486,5
high,489.0,2410.0,413,590,401809244,6430,Jimmy Butler III,1921.0,339,487,4
high,250.0,2410.0,414,591,401809244,4593016,Quinten Post,2160.0,371,532,2
high,250.0,2410.0,415,592,401809244,6589,Draymond Green,2160.0,370,531,5
high,781.0,2524.0,428,617,401809244,2990984,Buddy Hield,1743.0,310,447,3
high,231.0,2641.0,440,635,401809244,4897262,Will Richard,2410.0,412,589,4
high,231.0,2641.0,441,636,401809244,3213,Al Horford,2410.0,415,592,5
high,233.0,2757.0,457,663,401809244,4709138,Brandin Podziemski,2524.0,428,617,6
high,470.0,2880,1000000000000,1000000000000,401809244,3975,Stephen Curry,2410.0,413,590,3
high,470.0,2880,1000000000000,1000000000000,401809244,4433247,Jonathan Kuminga,2410.0,414,591,4
high,239.0,2880,1000000000000,1000000000000,401809244,6589,Draymond Green,2641.0,440,635,6
high,239.0,2880,1000000000000,1000000000000,401809244,6430,Jimmy Butler III,2641.0,441,636,5
high,123.0,2880,1000000000000,1000000000000,401809244,3134903,Gary Payton II,2757.0,457,663,5
high,327.0,327.0,37,61,401809237,4709138,Brandin Podziemski,0.0,0,0,1
high,327.0,327.0,38,65,401809237,6430,Jimmy Butler III,0.0,0,0,1
high,411.0,411.0,46,76,401809237,6589,Draymond Green,0.0,0,0,1
high,503.0,503.0,62,98,401809237,4433247,Jonathan Kuminga,0.0,0,0,1
high,503.0,503.0,63,99,401809237,3975,Stephen Curry,0.0,0,0,1
high,265.0,592.0,78,127,401809237,3134903,Gary Payton II,327.0,38,65,1
high,309.0,720.0,104,165,401809237,3213,Al Horford,411.0,46,76,1
high,128.0,720.0,105,166,401809237,4897262,Will Richard,592.0,78,127,1
high,436.0,939.0,125,203,401809237,6430,Jimmy Butler III,503.0,63,99,2
high,479.0,982.0,131,211,401809237,4709138,Brandin Podziemski,503.0,62,98,2
high,262.0,982.0,132,212,401809237,4593016,Quinten Post,720.0,104,165,1
high,747.0,1074.0,143,234,401809237,2990984,Buddy Hield,327.0,37,61,1
high,354.0,1074.0,144,235,401809237,6589,Draymond Green,720.0,105,166,2
high,179.0,1253.0,173,276,401809237,3134903,Gary Payton II,1074.0,143,234,2
high,179.0,1253.0,174,277,401809237,4897262,Will Richard,1074.0,144,235,2
high,347.0,1329.0,185,333,401809237,3213,Al Horford,982.0,131,211,2
high,419.0,1358.0,191,305,401809237,4433247,Jonathan Kuminga,939.0,125,203,2
high,82.0,1440.0,208,335,401809237,3134903,Gary Payton II,1358.0,191,305,3
high,528.0,1781.0,247,394,401809237,4709138,Brandin Podziemski,1253.0,173,276,3
high,528.0,1781.0,248,395,401809237,6430,Jimmy Butler III,1253.0,174,277,3
high,516.0,1845.0,254,406,401809237,6589,Draymond Green,1329.0,185,333,3
high,143.0,1924.0,274,433,401809237,3134903,Gary Payton II,1781.0,248,395,4
high,484.0,1924.0,275,434,401809237,4433247,Jonathan Kuminga,1440.0,208,335,3
high,942.0,1924.0,276,435,401809237,3975,Stephen Curry,982.0,132,212,2
high,315.0,2160.0,319,500,401809237,3213,Al Horford,1845.0,254,406,3
high,626.0,2407.0,354,550,401809237,2990984,Buddy Hield,1781.0,247,394,2
high,483.0,2407.0,355,551,401809237,6430,Jimmy Butler III,1924.0,275,434,4
high,247.0,2407.0,356,552,401809237,6589,Draymond Green,2160.0,319,500,4
high,695.0,2619.0,388,605,401809237,4897262,Will Richard,1924.0,274,433,3
high,726.0,2650.0,393,611,401809237,4709138,Brandin Podziemski,1924.0,276,435,4
high,447.3000000000002,2854.3,424,650,401809237,4433247,Jonathan Kuminga,2407.0,356,552,4
high,447.3000000000002,2854.3,425,651,401809237,3213,Al Horford,2407.0,355,551,4
high,239.5999999999999,2858.6,428,657,401809237,6430,Jimmy Butler III,2619.0,388,605,5
high,4.299999999999727,2858.6,429,658,401809237,4709138,Brandin Podziemski,2854.3,424,650,5
high,4.299999999999727,2858.6,430,659,401809237,2990984,Buddy Hield,2854.3,425,651,3
high,21.40000000000009,2880.0,434,666,401809237,3134903,Gary Payton II,2858.6,430,659,5
high,773.0,3180,1000000000000,1000000000000,401809237,3975,Stephen Curry,2407.0,354,550,3
high,530.0,3180,1000000000000,1000000000000,401809237,6589,Draymond Green,2650.0,393,611,5
high,321.4000000000001,3180,1000000000000,1000000000000,401809237,3213,Al Horford,2858.6,428,657,5
high,321.4000000000001,3180,1000000000000,1000000000000,401809237,4433247,Jonathan Kuminga,2858.6,429,658,5
high,300.0,3180,1000000000000,1000000000000,401809237,6430,Jimmy Butler III,2880.0,434,666,6
high,315.0,315.0,46,68,401809952,6430,Jimmy Butler III,0.0,0,0,1
high,326.0,326.0,51,75,401809952,6589,Draymond Green,0.0,0,0,1
high,382.0,382.0,66,94,401809952,4593016,Quinten Post,0.0,0,0,1
